
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100     1,183,200         124,989,775             56,918                   0                  0         9,606,808          214,658            11,832         1,249,328                 0         93,921                        105     0
       100     1,196,800         125,646,576             56,918                   0                  0        11,617,716          214,658            11,968         1,255,896                 0        114,030                        104     0
       100     1,210,400         126,288,067             56,918                   0                  0        16,264,966          214,658            12,104         1,262,311                 0        160,503                        104     0
       100     1,224,000         126,931,274             56,918                   0                  0        10,535,398          214,658            12,240         1,268,743                 0        103,207                        103     0
       100     1,237,600         127,579,543             56,918                   0                  0        11,941,501          214,658            12,376         1,275,226                 0        117,268                        103     0
       100     1,251,200         128,231,242             56,918                   0                  0        10,064,255          214,658            12,512         1,281,743                 0         98,495                        102     0
       100     1,264,800         128,879,544             56,918                   0                  0        12,576,581          214,658            12,648         1,288,226                 0        123,619                        101     0
       100     1,278,400         129,531,275             56,918                   0                  0        12,695,441          214,658            12,784         1,294,743                 0        124,807                        101     0
       100     1,292,000         130,176,170             56,918                   0                  0        10,728,027          214,658            12,920         1,301,192                 0        105,133                        100     0
       100     1,305,600         130,821,073             56,918                   0                  0        10,406,345          214,658            13,056         1,307,641                 0        101,916                        100     0
       100     1,319,200         131,472,789             56,918                   0                  0        11,603,353          214,658            13,192         1,314,158                 0        113,886                         99     0
       100     1,332,800         132,117,680             56,918                   0                  0        10,975,903          214,658            13,328         1,320,607                 0        107,612                         99     0
       100     1,346,400         132,764,273             56,918                   0                  0        10,899,410          214,658            13,464         1,327,073                 0        106,847                         98     0
       100     1,360,000         133,419,379             56,918                   0                  0        10,931,237          214,658            13,600         1,333,624                 0        107,165                         98     0
       100     1,373,600         134,067,670             56,918                   0                  0        11,675,085          214,658            13,736         1,340,107                 0        114,604                         97     0
       100     1,387,200         134,709,176             56,918                   0                  0        10,445,496          214,658            13,872         1,346,522                 0        102,308                         97     0
       100     1,400,800         135,359,175             56,918                   0                  0        11,605,783          214,658            14,008         1,353,022                 0        113,911                         96     0
       100     1,414,400         136,005,775             56,918                   0                  0         9,524,312          214,658            14,144         1,359,488                 0         93,096                         96     0
       100     1,428,000         136,659,148             56,918                   0                  0        10,890,404          214,658            14,280         1,366,022                 0        106,757                         95     0
       100     1,441,600         137,304,046             56,918                   0                  0         9,497,851          214,658            14,416         1,372,471                 0         92,831                         95     0
       100     1,455,200         137,950,672             56,918                   0                  0         9,501,904          214,658            14,552         1,378,937                 0         92,872                         94     0
       100     1,468,800         138,604,073             56,918                   0                  0        13,504,449          214,658            14,688         1,385,471                 0        132,897                         94     0
       100     1,482,400         139,247,272             56,918                   0                  0        12,636,295          214,658            14,824         1,391,903                 0        124,216                         93     0
       100     1,496,000         139,892,171             56,918                   0                  0        12,151,623          214,658            14,960         1,398,352                 0        119,369                         93     0
       100     1,509,600         140,552,346             56,918                   0                  0        11,292,438          214,658            15,096         1,404,954                 0        110,777                         93     0
       100     1,523,200         141,195,621             56,918                   0                  0        11,017,172          214,658            15,232         1,411,387                 0        108,025                         92     0
       100     1,536,800         141,842,175             56,918                   0                  0        10,615,377          214,658            15,368         1,417,852                 0        104,007                         92     0
       100     1,550,400         142,488,771             56,918                   0                  0        11,372,884          214,658            15,504         1,424,318                 0        111,582                         91     0
       100     1,564,000         143,145,568             56,918                   0                  0        11,418,705          214,658            15,640         1,430,886                 0        112,040                         91     0
       100     1,577,600         143,785,342             56,918                   0                  0        12,691,831          214,658            15,776         1,437,284                 0        124,771                         91     0
       100     1,591,200         144,433,669             56,918                   0                  0        12,137,822          214,658            15,912         1,443,767                 0        119,231                         90     0
